Id,AccountId,FirstName,LastName,Email,Phone,MobilePhone,Title,Department,MailingStreet,MailingCity,MailingState,MailingPostalCode,MailingCountry,LeadSource,OwnerId,CreatedDate,LastModifiedDate,IsDeleted
00300010000,00100010000,Jeremy,Holmes,jeremy.holmes@moore-bernard.com,001-257-236-5404x49272,317.888.3643,Director Finance,Executive,181 Johnson Course,East William,AK,74064,USA,Phone Inquiry,0050011,2022-05-02 17:21:13,2022-06-03 17:21:13,False
00300010001,00100010000,Travis,Stone,travis.stone@moore-bernard.com,001-298-544-4088x9593,(207)356-0526,CFO,Executive,181 Johnson Course,East William,AK,74064,USA,Partner Referral,0050011,2022-07-18 17:21:13,2022-09-09 17:21:13,False
00300010002,00100010001,Julia,Moore,julia.moore@clark-adams.com,+1-502-799-9663x3092,(454)903-0799x1540,VP Marketing,Operations,9407 Teresa Lane Apt. 849,Barbaraland,AZ,87174,USA,Purchased List,0050002,2025-11-29 17:21:13,2026-01-12 17:21:13,False
00300010003,00100010001,Jason,Martin,jason.martin@clark-adams.com,229-653-1850,(231)682-0682,CFO,Executive,9407 Teresa Lane Apt. 849,Barbaraland,AZ,87174,USA,Partner Referral,0050002,2026-01-10 17:21:13,2026-12-07 17:21:13,False
00300010004,00100010001,Allison,Martinez,allison.martinez@clark-adams.com,001-709-930-5484x738,001-779-373-9824x55381,Director IT,Operations,9407 Teresa Lane Apt. 849,Barbaraland,AZ,87174,USA,Phone Inquiry,0050002,2025-10-17 17:21:13,2025-11-07 17:21:13,False
00300010005,00100010001,Amanda,Tucker,amanda.tucker@clark-adams.com,+1-738-926-4295x18525,+1-868-781-5590x30819,VP Operations,IT,9407 Teresa Lane Apt. 849,Barbaraland,AZ,87174,USA,Partner Referral,0050002,2025-11-05 17:21:13,2026-11-03 17:21:13,False
00300010006,00100010001,Megan,Green,megan.green@clark-adams.com,476.615.0488x49150,564-703-5076x9555,CTO,Executive,9407 Teresa Lane Apt. 849,Barbaraland,AZ,87174,USA,Event,0050002,2025-12-24 17:21:13,2026-08-06 17:21:13,False
00300010007,00100010002,Michelle,Romero,michelle.romero@osborn.net,908-922-7754,+1-977-445-9254x1238,VP Operations,Marketing,4835 Jeremy Bypass Suite 641,New Nancy,MD,28370,USA,Partner Referral,0050017,2024-10-22 17:21:13,2025-07-17 17:21:13,False
00300010008,00100010002,Melissa,Doyle,melissa.doyle@osborn.net,679.779.0070,(494)584-9674x166,Director Finance,Finance,4835 Jeremy Bypass Suite 641,New Nancy,MD,28370,USA,Purchased List,0050017,2024-11-13 17:21:13,2025-02-03 17:21:13,False
00300010009,00100010003,Erica,Peterson,erica.peterson@gill.com,(671)225-5935x02767,(741)322-7276x5314,CEO,Procurement,26916 Carlson Mountain,Tashatown,TX,94967,USA,Event,0050005,2025-04-15 17:21:13,2025-10-23 17:21:13,False
00300010010,00100010003,Heather,Harris,heather.harris@gill.com,570-605-4558,(759)955-6216x833,VP Sales,Operations,26916 Carlson Mountain,Tashatown,TX,94967,USA,Trade Show,0050005,2025-03-25 17:21:13,2025-10-10 17:21:13,False
00300010011,00100010003,Holly,Valencia,holly.valencia@gill.com,(268)608-9504x91086,417.315.5785,Manager Procurement,Executive,26916 Carlson Mountain,Tashatown,TX,94967,USA,Purchased List,0050005,2025-04-26 17:21:13,2025-10-17 17:21:13,False
00300010012,00100010003,Connie,Riley,connie.riley@gill.com,001-333-868-6093,2897888501,CEO,Marketing,26916 Carlson Mountain,Tashatown,TX,94967,USA,Trade Show,0050005,2025-07-04 17:21:13,2026-05-07 17:21:13,False
00300010013,00100010004,Nathan,Farmer,nathan.farmer@rose-obrien.com,491.811.5320,400-293-3396x3790,VP Marketing,Marketing,809 Burns Creek,Natashaport,IA,08093,USA,Phone Inquiry,0050014,2022-01-21 17:21:13,2022-12-11 17:21:13,False
00300010014,00100010004,Elizabeth,Preston,elizabeth.preston@rose-obrien.com,+1-587-682-1889,578-616-7663x4208,VP Operations,HR,809 Burns Creek,Natashaport,IA,08093,USA,Partner Referral,0050014,2022-06-22 17:21:13,2022-12-11 17:21:13,False
00300010015,00100010004,William,Davis,william.davis@rose-obrien.com,926-564-7426x4404,001-927-696-6379x58187,Manager Procurement,Marketing,809 Burns Creek,Natashaport,IA,08093,USA,Web,0050014,2022-01-24 17:21:13,2022-07-12 17:21:13,False
00300010016,00100010005,Joseph,Knight,joseph.knight@mueller.com,568-371-4469x3995,856-664-2394x02690,Director Finance,Finance,578 Martinez Fork Apt. 509,New Jeffrey,CA,93279,USA,Web,0050008,2025-05-23 17:21:13,2026-03-05 17:21:13,False
00300010017,00100010006,Kathy,Lawrence,kathy.lawrence@tucker-lewis.biz,(868)911-8229x2324,(620)237-3378,CTO,IT,6701 Richard Junction Apt. 333,Taylorburgh,KY,61138,USA,Purchased List,0050006,2023-12-03 17:21:13,2024-06-18 17:21:13,False
00300010018,00100010006,Tina,Lowe,tina.lowe@tucker-lewis.biz,538-267-4857,255-296-5765x786,Senior Buyer,Executive,6701 Richard Junction Apt. 333,Taylorburgh,KY,61138,USA,Web,0050006,2023-08-24 17:21:13,2024-01-01 17:21:13,False
00300010019,00100010006,Olivia,Rogers,olivia.rogers@tucker-lewis.biz,001-926-276-4494x3632,(661)446-5344x200,CEO,Executive,6701 Richard Junction Apt. 333,Taylorburgh,KY,61138,USA,Partner Referral,0050006,2023-11-28 17:21:13,2024-10-02 17:21:13,False
00300010020,00100010006,Christopher,Cohen,christopher.cohen@tucker-lewis.biz,(774)271-5203x51919,465-413-3585x08143,VP Operations,Sales,6701 Richard Junction Apt. 333,Taylorburgh,KY,61138,USA,Trade Show,0050006,2023-07-21 17:21:13,2024-01-08 17:21:13,False
