Id,FirstName,LastName,Company,Title,Email,Phone,Street,City,State,PostalCode,Country,Industry,LeadSource,Status,Rating,NumberOfEmployees,AnnualRevenue,OwnerId,IsConverted,ConvertedDate,ConvertedAccountId,ConvertedContactId,ConvertedOpportunityId,CreatedDate,LastModifiedDate,IsDeleted
00Q00010000,Jennifer,Hall,Davis-Jones,VP,jennifer.hall@skinner.com,569-417-3398,0118 Moore Motorway Suite 638,West James,WI,05032,USA,Energy,Partner Referral,Closed - Not Converted,Cold,2376,59802.98,0050010,False,,,,,2025-03-11 17:21:13,2025-07-19 17:21:13,False
00Q00010001,Theodore,Owens,"Rodgers, Smith and Perez",Manager,theodore.owens@hardy-nelson.com,549-406-0467,7053 Klein Coves,West Dannystad,CO,95867,USA,Technology,Phone Inquiry,Working - Contacted,Hot,16,525787.81,0050008,False,,,,,2025-10-12 17:21:13,2026-02-13 17:21:13,False
00Q00010002,Rhonda,Green,Dorsey Ltd,VP,rhonda.green@moreno.com,314-569-0615x33996,72533 Bowman Port,East Yvonneberg,AS,85877,USA,Financial Services,Web,Closed - Not Converted,Hot,179,356516.73,0050011,False,,,,,2025-02-10 17:21:13,2025-03-22 17:21:13,False
00Q00010003,Jason,Lopez,Gardner-Schneider,VP,jason.lopez@brown.com,400.986.3864,2898 Vincent Trail,Mckenzieville,VI,89955,USA,Financial Services,Purchased List,Open - Not Contacted,Warm,29,643155.66,0050010,False,,,,,2025-07-19 17:21:13,2025-10-15 17:21:13,False
00Q00010004,Amy,Guzman,White-Foster,Analyst,amy.guzman@walsh.biz,(629)919-3056x751,7890 Scott Drive,New Samuelfurt,OH,73962,USA,Manufacturing,Webinar,Working - Contacted,Hot,69,779600.14,0050015,False,,,,,2025-02-19 17:21:13,2025-07-04 17:21:13,False
00Q00010005,Johnathan,Flynn,"Miles, Johnson and Lewis",Senior Manager,johnathan.flynn@terry-cabrera.com,551.564.5465,0373 Alexis Landing,North Heatherborough,MH,42204,USA,Technology,Trade Show,Open - Not Contacted,Hot,134,1829168.64,0050003,False,,,,,2025-05-19 17:21:13,2025-08-11 17:21:13,False
00Q00010006,James,Snyder,Marsh-Thornton,Manager,james.snyder@parker.com,2856554595,107 Hill Gateway,Vaughnshire,MP,66698,USA,Healthcare,Phone Inquiry,Open - Not Contacted,Warm,14,134365.86,0050002,False,,,,,2025-08-12 17:21:13,2025-09-07 17:21:13,False
00Q00010007,Diana,Ali,"Robinson, Davis and Pace",Director,diana.ali@smith.info,580.433.8371,033 Stephanie Junction Apt. 049,North Andrewville,LA,87571,USA,Healthcare,Partner Referral,Closed - Not Converted,Warm,242,1644021.33,0050011,False,,,,,2025-02-02 17:21:13,2025-07-26 17:21:13,False
00Q00010008,Melissa,Diaz,"Moore, Harris and Johnson",Analyst,melissa.diaz@dunn.com,(342)477-2594x7214,22957 Rebecca Lane Suite 590,South Janice,MO,59817,USA,Technology,Phone Inquiry,Open - Not Contacted,Warm,437,379845458.28,0050008,False,,,,,2025-08-18 17:21:13,2025-10-10 17:21:13,False
00Q00010009,Megan,Wilson,"Wong, Ortiz and Nguyen",Senior Manager,megan.wilson@castro.net,+1-317-628-6455x188,133 Kayla Drives,Lake Jessicaland,SC,62014,USA,Technology,Social Media,Closed - Converted,Hot,36,762372.76,0050005,True,2025-12-10,00100010900,00300011168,00600011972,2025-10-06 17:21:13,2026-01-14 17:21:13,False
00Q00010010,Chad,West,Avila LLC,Director,chad.west@brooks.com,001-381-571-4642,2458 David Mill Apt. 734,Port Jeremy,NM,89413,USA,Retail,Employee Referral,Working - Contacted,Warm,827,239449.59,0050005,False,,,,,2025-01-30 17:21:13,2025-03-01 17:21:13,False
00Q00010011,Meagan,Case,Anderson Inc,Analyst,meagan.case@austin.net,001-476-272-5449x1792,1458 Martinez Mount,Julieview,AK,81273,USA,Healthcare,Purchased List,Working - Contacted,Warm,180,1708877.75,0050017,False,,,,,2025-10-22 17:21:13,2026-01-10 17:21:13,False
