CRM_ContactId,CRM_FirstName,CRM_LastName,CRM_Email,CRM_Title,CRM_AccountId,SAP_KUNNR,SAP_VKORG,SAP_VTWEG,SAP_SPART,SAP_PARVW,SAP_KUNN2,PartnerFunction,CreatedDate
300010000,Jeremy,Holmes,jeremy.holmes@moore-bernard.com,Director Finance,100010000,100000,2000,20,0,AG,100000,Sold-to Party,2025-10-25 17:36:40
300010001,Travis,Stone,travis.stone@moore-bernard.com,CFO,100010000,100000,2000,20,0,AG,100000,Sold-to Party,2025-10-25 17:36:40
300010002,Julia,Moore,julia.moore@clark-adams.com,VP Marketing,100010001,100001,1000,20,2,AG,100001,Sold-to Party,2025-10-25 17:36:40
300010003,Jason,Martin,jason.martin@clark-adams.com,CFO,100010001,100001,1000,20,2,AG,100001,Sold-to Party,2025-10-25 17:36:40
300010004,Allison,Martinez,allison.martinez@clark-adams.com,Director IT,100010001,100001,1000,20,2,AG,100001,Sold-to Party,2025-10-25 17:36:40
300010005,Amanda,Tucker,amanda.tucker@clark-adams.com,VP Operations,100010001,100001,1000,20,2,AG,100001,Sold-to Party,2025-10-25 17:36:40
300010006,Megan,Green,megan.green@clark-adams.com,CTO,100010001,100001,1000,20,2,AG,100001,Sold-to Party,2025-10-25 17:36:40
300010009,Erica,Peterson,erica.peterson@gill.com,CEO,100010003,100002,3000,10,2,AG,100002,Sold-to Party,2025-10-25 17:36:40
300010010,Heather,Harris,heather.harris@gill.com,VP Sales,100010003,100002,3000,10,2,AG,100002,Sold-to Party,2025-10-25 17:36:40
300010011,Holly,Valencia,holly.valencia@gill.com,Manager Procurement,100010003,100002,3000,10,2,AG,100002,Sold-to Party,2025-10-25 17:36:40
300010012,Connie,Riley,connie.riley@gill.com,CEO,100010003,100002,3000,10,2,AG,100002,Sold-to Party,2025-10-25 17:36:40
300010017,Kathy,Lawrence,kathy.lawrence@tucker-lewis.biz,CTO,100010006,100003,2000,30,1,AG,100003,Sold-to Party,2025-10-25 17:36:40
300010018,Tina,Lowe,tina.lowe@tucker-lewis.biz,Senior Buyer,100010006,100003,2000,30,1,AG,100003,Sold-to Party,2025-10-25 17:36:40
300010019,Olivia,Rogers,olivia.rogers@tucker-lewis.biz,CEO,100010006,100003,2000,30,1,AG,100003,Sold-to Party,2025-10-25 17:36:40
300010020,Christopher,Cohen,christopher.cohen@tucker-lewis.biz,VP Operations,100010006,100003,2000,30,1,AG,100003,Sold-to Party,2025-10-25 17:36:40
300010021,Jenna,Mason,jenna.mason@tucker-lewis.biz,Senior Buyer,100010006,100003,2000,30,1,AG,100003,Sold-to Party,2025-10-25 17:36:40
300010022,Stephen,Roberson,stephen.roberson@miller.com,VP Sales,100010007,100004,2000,10,2,AG,100004,Sold-to Party,2025-10-25 17:36:40
300010023,Jessica,Harmon,jessica.harmon@miller.com,Director Finance,100010007,100004,2000,10,2,AG,100004,Sold-to Party,2025-10-25 17:36:40
300010027,Frances,Gutierrez,frances.gutierrez@jones.com,Director IT,100010009,100005,3000,20,2,AG,100005,Sold-to Party,2025-10-25 17:36:40
